"nro","varcode","russian"
1,"rredid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 22-го РАУНДА"
2,"rid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 22-го РАУНДА"
3,"qid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 21-го РАУНДА"
4,"pid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 20-го РАУНДА"
5,"oid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 19-го РАУНДА"
6,"nid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 18-ГО РАУНДА"
7,"mid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 17-ГО РАУНДА"
8,"lid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 16-ГО РАУНДА"
9,"kid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 15-го РАУНДА"
10,"jid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 14-го РАУНДА"
11,"iid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 13-го РАУНДА"
12,"hid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 12-го РАУНДА"
13,"gid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 11-го РАУНДА"
14,"fid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 10-го РАУНДА"
15,"eid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 9-го РАУНДА"
16,"did_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 8-го РАУНДА"
17,"cid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 7-го РАУНДА"
18,"bid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 6-го РАУНДА"
19,"aid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 5-го РАУНДА"
20,"r_origsm","АДРЕС РЕПРЕЗЕНТАТИВНОЙ ВЫБОРКИ? - В 22-Й ВОЛНЕ"
21,"r_hhwgt","ПОСТСТРАТИФИКАЦИОННЫЙ ВЕС ДОМОХОЗЯЙСТВА В 22-Й ВОЛНЕ"
22,"region","КОД РЕГИОНА"
23,"psu","ПЕРВИЧНАЯ ЕДИНИЦА ОТБОРА"
24,"status","ТИП НАСЕЛЕННОГО ПУНКТА"
25,"popul","ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ"
26,"site","НОМЕР НАСЕЛЕННОГО ПУНКТА"
27,"ra2","НОМЕР СЕМЬИ"
28,"ra3","ХОТЯ БЫ ОДИН ЧЛЕН СЕМЬИ РАНЬШЕ УЧАСТВОВАЛ В ИССЛЕДОВАНИИ?"
29,"r_round","НОМЕР СЕМЬИ; ОТ КОТОРОЙ ДАННАЯ СЕМЬЯ ОТДЕЛИЛАСЬ В 22-м РАУНДЕ"
30,"ra4.1","ДАТА ПРОВЕДЕНИЯ ИНТЕРВЬЮ; ЧИСЛО"
